"sample_id","genotype","utilization_of_fruit","berry_skin_colour_oiv_225","presence_of_seeds_oiv_241","berry_flavour_oiv_236","sex_of_flower_oiv_151","time_of_bud_burst_day_chasselas_oiv_301","time_of_full_bloom_day_chasselas_oiv_302","time_of_veraison_week_chasselas_oiv_303","time_of_maturity_week_chasselas_oiv_304","fertility_inflorescence_10_buds_oiv_155","bunch_weight_g_oiv_502","berry_weight_g_oiv_503","bunch_susceptibility_to_botrytis_0_to_5_oiv_459","acidity_of_must_g_h2so4_l_oiv_506","acidity_of_wine_g_h2so4_l","wine_alcohol"
"B00FQHW","Blanquiliña",NA,"B","seed","none","H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B00ERQ0","Blatterle",NA,"B",NA,NA,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B00ER13","Bobal","wine","N","seed","none","H",10,6,2.6,4,8,444,3.3,0.6,6.2,3.3,8.9
"B00EQZR","Bogazkere","wine","N","seed","none","H",0,7,4,5.3,0,203,2.3,0.3,NA,NA,NA
"B00F6OG","Bombino bianco","wine-table","B","seed","none","H",14,5,3.1,3.3,17,238,3.9,0.2,6.8,6.8,10.7
"B00EQT1","Bonamico","wine","N","seed","none","H",5,2,2.8,3.3,9,406,4,0.7,5.5,4,7.5
"B00ERA6","Bondola","wine","N","seed","none","H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B00F6QO","Borchalo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B00EJKI","Borraçal","wine","N","seed","none","H",10,6,3.8,4.5,11,107,2.3,0.2,9,4.6,8.6
"B00FQJC","Borrado das moscas","wine","B","seed","none","H",3,NA,1.5,1.9,7,305,1.7,0.2,6,3.9,12.8
"B00EQZN","Bou Khanzir noir","wine","N","seed","none","H",5,NA,2.3,3.7,4,447,3.6,0.3,4.7,4.5,9.6
"B00ERS0","Bourboulenc","wine","B","seed","none","H",4,4,2.8,3.9,12,339,2.4,0.2,4.4,3.7,9.9
"B00F6OA","Brachetto","wine","N","seed","other","H",-8,NA,1.7,1.5,7,134,1.8,0.2,8.3,6.5,12.1
"B00ERR0","Braghina","wine-table","Rs","seed","none","F",7,NA,2.4,3.6,26,149,2.7,0.1,5.6,5,10.9
"B00EQVG","Breider 5-6","wine","Rs","seed","none","H",3,NA,NA,-1,12,108,NA,0,4.9,6,13.1
"B00FQF5","Breval negro",NA,"N","seed","none","H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B00EI5N","Brun Fourca","wine","N","seed","none","H",9,6,2.3,3.4,11,194,3.9,1,7.3,3.4,9.4
